Name,Radius,Mass,Distance,Gravity
SDSS J000013.54+255418.6Â [de],70777296.90899992,9.1136425536e+28,46.1,1213.4723373937989
2MASS J00040288-6410358,116532317.13299993,3.6074835108e+28,192.0,177.18927226995092
2MASS J00242463-0158201,77926518.81899999,1.49995367028e+29,37.7,1647.5292272061336
2MASS J00274197+0503417,102948795.50399992,5.8858941492000005e+28,236.0,370.42112122103975
2MASSW J0030300-145033,70062374.71799994,1.02528478728e+29,87.2,1393.1588584075591
2MASS J00332386-1521309Â [de],102233873.31299992,5.5061590428e+28,131.0,351.38640539176913
2MASS J00345157+0523050,67202685.95399994,7.974437234399999e+28,31.0,1177.7486511370575
2MASS 0036+1821,67202685.95399994,7.974437234399999e+28,28.6,1177.7486511370575
2MASSW J0045214+163445,115817394.942,4.3669537236e+28,57.0,217.14850276279157
WISEP J004701.06+680352.1Â [fr],92939884.82999994,2.2784106384e+28,40.0,175.93553814787887
2MASS J00501994-3322402Â [de],67202685.95399994,7.594702128e+28,34.0,1121.6653820352933
2MASS J00584253-0651239Â [de],102233873.31299992,5.5061590428e+28,96.0,351.38640539176913
2MASSI J0103320+193536,70062374.71799994,9.8731127664e+28,70.0,1341.560382170242
SDSSp J010752.33+004156.1Â [de],70062374.71799994,9.8731127664e+28,51.0,1341.560382170242
2MASSI J0117474-340325Â [de],115817394.942,3.797351064e+28,163.0,188.82478501112314
2MASS J01415823-4633574Â [de],115102472.751,3.797351064e+28,130.0,191.17771914015336
SDSS J015141.69+124429.6,69347452.52699994,8.9237750004e+28,70.0,1237.6943879163591
SDSS J020742.48+000056.2Â [de],69347452.52699994,8.9237750004e+28,111.0,1237.6943879163591
2MASS J02103857-3015313,109383095.223,2.848013298e+28,101.0,158.7696289193873
2MASS J02340093-6442068,115817394.942,3.797351064e+28,155.0,188.82478501112314
2MASS J02411151-0326587Â [de],100804028.93099992,5.1264239364e+28,152.0,336.49961461058786
2MASS J02431371âˆ’2453298,70777296.90899992,6.265629255599999e+28,35.0,834.2622319582366
LP 771-21,77211596.628,1.48096691496e+29,53.0,1656.937488472605
Teegarden's star,90795118.25699992,1.5189404256e+29,12.578,1228.9708370839912
